Trait,Cat
PC3_se_dist_LDLD_vel_post,Spread_of_Shape
PC1_se_dist_SDLD_acc_pre,Spread_of_Shape
PC2_se_dist_SDLD_acc_pre,Spread_of_Shape
PC3_se_dist_SDLD_acc_pre,Spread_of_Shape
PC1_se_dist_SDSD_acc_pre,Spread_of_Shape
PC2_se_dist_SDSD_acc_pre,Spread_of_Shape
PC3_se_dist_SDSD_acc_pre,Spread_of_Shape
PC1_se_dist_LDLD_acc_pre,Spread_of_Shape
PC2_se_dist_LDLD_acc_pre,Spread_of_Shape
PC3_se_dist_LDLD_acc_pre,Spread_of_Shape
PC1_se_dist_SDLD_acc_post,Spread_of_Shape
PC2_se_dist_SDLD_acc_post,Spread_of_Shape
PC3_se_dist_SDLD_acc_post,Spread_of_Shape
PC1_se_dist_SDSD_acc_post,Spread_of_Shape
PC2_se_dist_SDSD_acc_post,Spread_of_Shape
PC3_se_dist_SDSD_acc_post,Spread_of_Shape
PC1_se_dist_LDLD_acc_post,Spread_of_Shape
PC2_se_dist_LDLD_acc_post,Spread_of_Shape
PC3_se_dist_LDLD_acc_post,Spread_of_Shape
se_total_euclid_SDLD_ori_pre,Spread_of_Shape
se_total_euclid_SDSD_ori_pre,Spread_of_Shape
se_total_euclid_LDLD_ori_pre,Spread_of_Shape
se_total_euclid_SDLD_ori_post,Spread_of_Shape
se_total_euclid_SDSD_ori_post,Spread_of_Shape
se_total_euclid_LDLD_ori_post,Spread_of_Shape
se_total_euclid_SDLD_vel_pre,Spread_of_Shape
se_total_euclid_SDSD_vel_pre,Spread_of_Shape
se_total_euclid_LDLD_vel_pre,Spread_of_Shape
se_total_euclid_SDLD_vel_post,Spread_of_Shape
se_total_euclid_SDSD_vel_post,Spread_of_Shape
se_total_euclid_LDLD_vel_post,Spread_of_Shape
se_total_euclid_SDLD_acc_pre,Spread_of_Shape
se_total_euclid_SDSD_acc_pre,Spread_of_Shape
se_total_euclid_LDLD_acc_pre,Spread_of_Shape
se_total_euclid_SDLD_acc_post,Spread_of_Shape
se_total_euclid_SDSD_acc_post,Spread_of_Shape
se_total_euclid_LDLD_acc_post,Spread_of_Shape
PC1_movement_ori_SDLD,Spread_of_Shift
PC2_movement_ori_SDLD,Spread_of_Shift
PC1_movement_vel_SDLD,Spread_of_Shift
PC2_movement_vel_SDLD,Spread_of_Shift
